"Уæлдайдæр, дæхи цæргæс куы нхъæлай, искæй та бындз",0
Цæргæбонты инвалидмæ кæсынæй хорзæй цы ис😉,0
"Уыдис мӕм ахӕм чиныг, кастӕн.",0
Хуызаей агургае куы уыдаит),0
"Зонын æй, фæлæ йæ нæ рафæлдахдзынæн: чызг йæ быны фæуыдзæн",0
"цы æнхъæлай, уый уыдзынæ",0
Фыдуынд та цахæм вæййы?,0
Письмо - пъисыр .,1
"Тыппыртæ, дам, сексуальный сты",1
Фаестаг-мае хабар ахицан' сае хъабар уарзтаей',0
"Уар Зонды Дзинад...!Кам асты???Кам асты ??ма уды конд ныфтае...?(Кам Арга сты ,уыцы стьалытае?..",0
Уый лавровый сыфы къалиу у ави?,1
Алкæй мад æнæниз уæд.,0
Рауагъды сахар Чъреба,0
"Адæм дæ алварс куы уой, уæд дзы æрзилын нал хъæуы",0
Биратан мандаринта дар ницы фехууыс уыдзысты🙈😁,1
Раессугъд чызг мае раессугъд ныхаестае ),0
"Таегьд нам ,Бредли Куппер дар ,вступить аскандзан😁ама иума ныззардзысты Цьолайы зараег😁",0
Уæ бар у...,0
Эльзӕйӕн стыр бузныг! Зӕрдӕйы уидӕгтӕ банкъуысын кӕны!,0
Шаемаей нал у дае бон 😜,0
"Мӕ кӕд ничи ӕнхъӕлмӕ кӕсы, уӕд ис тагъд шӕуӕн, нӕ?)",0
Гӕстӕны элеги кӕсгӕйӕ ма-иу автобусы дӕр мӕ зӕрдӕ суынгӕг.,1
анасар харагима дар ницы рауайдзан,0
Ахæм адæймаг масты аргъ нæу,0
"Ер та кӕмӕй нӕ бон у раппӕлын? Цыдӕр ""борецтӕ"" ӕмӕ алыхуызон ӕстъӕрд бибиадӕм.",0
"Мæ ныхæстæ ,,дзæгъæл"" сты?",0
"Цæстцух куы уай, уæд цасфæнды кæс",0
адæм дæр афтæ куы уаиккой,0
Иттаг раст😊,0
Бæгуыдæр👍🏻,0
Раст у!,0
Аздар барга уарзин фала кай,0
"Чызджытæм бæллын, фæлæ ничи мæм фыссы 
 
Талынг нал кæны мæ бон 
 
Кæм æссарон иу гæбо? 
 
Ныр мæм алчидæр хъусы 
 
Зарын, зарджытæ мысын 
 
Фæтæригъæд ма мын кæн 
 
Рустæ сырх, тæргай фæдæн дæу тыххæй 
 
Чызджытæм бæллын, фæлæ ничи мæм фыссы 
 
Талынг нал кæны мæ бон 
 
Кæм æссарон иу гæбо? 
 
Ныр мæм алчидæр хъусы 
 
Зарын, зарджытæ мысын 
 
Фæтæригъæд ма мын кæн 
 
Рустæ сырх, тæргай фæдæн дæу тыххæй 
 
Цæстытæ æхкæд, мæ аргъ цы у, цы пайда сын мæнæй? 
 
Дарын зæрдæ гомæй, рынчын сæр хъæртæ кæны. 
 
Цæмæй конд у адæймаджы сагъæс? 
 
Мæты ленк кæнын. 
 
Мæтæй ницы пайда ис, фæлæ уæддæр рæстæг харц кæнын 
 
Мыййаг та фæрæдыдтæн? 
 
(дæу тыххæй, дæу тыххæй) 
 
Æрыздæхон сау фынкæй? 
 
(сау фынкæй, дæу тыххæй) 
 
Мæнмæ гæсгæ фæрæдыдтæн 
 
(кæй тыххæй? цæй тыххæй?) 
 
Чи мын цы хъуамæ бацамона? 
 
(ногæй та) 
 
Чызджытæм бæллын, фæлæ ничи мæм фыссы 
 
Талынг нал кæны мæ бон 
 
Кæм æссарон иу гæбо? 
 
Ныр мæм алчидæр хъусы 
 
Зарын, зарджытæ мысын 
 
Фæтæригъæд ма мын кæн 
 
Рустæ сырх, тæргай фæдæн дæу тыххæй 
 
Чызджытæм бæллын, фæлæ ничи мæм фыссы 
 
Талынг нал кæны мæ бон 
 
Кæм æссарон иу гæбо? 
 
Ныр мæм алчидæр хъусы 
 
Зарын, зарджытæ мысын 
 
Фæтæригъæд ма мын кæн 
 
Рустæ сырх, тæргай фæдæн дæу тыххæй 
 
Мыййаг та фæрæдыдтæн? 
 
(дæу тыххæй, дæу тыххæй) 
 
Æрыздæхон сау фынкæй? 
 
(сау фынкæй, дæу тыххæй) 
 
Мæнмæ гæсгæ фæрæдыдтæн 
 
(кæй тыххæй? цæй тыххæй?) 
 
Чи мын цы хъуамæ бацамона? 
 
Чызджытæм бæллын, фæлæ ничи мæм фыссы 
 
Талынг нал кæны мæ бон 
 
Кæм æссарон иу гæбо? 
 
Ныр мæм алчидæр хъусы 
 
Зарын, зарджытæ мысын 
 
Фæтæригъæд ма мын кæн 
 
Рустæ сырх, тæргай фæдæн дæу тыххæй 
 
Чызджытæм бæллын, фæлæ ничи мæм фыссы 
 
Талынг нал кæны мæ бон 
 
Кæм æссарон иу гæбо? 
 
Ныр мæм алчидæр хъусы 
 
Зарын, зарджытæ мысын 
 
Фæтæригъæд ма мын кæн 
 
Рустæ сырх, тæргай фæдæн дæу тыххæй 
 
Мыййаг та фæрæдыдтæн? 
 
(Мыййаг та фæрæдыдтæн?) 
 
Æрыздæхон сау фынкæй? 
 
(Æрыздæхон сау фынкæй?) 
 
Мæнмæ гæсгæ фæрæдыдтæн 
 
(Мæнмæ гæсгæ фæрæдыдтæн) 
 
Чи мын цы хъуамæ бацамона?",0
Тынг раст 👍,0
Ахӕм нывмӕ гыццыл фӕлмӕндӕр ныхӕстӕ ныффысӕн уыд.,0
Уыцы нараджы цы ферох кодта!?,0
Иуыл каеугае каеныс 😅,0
Мидæгæй мард,0
Таехуды мае йае аез даер искуы куы ссарин 😔,0
Тынг хорз хабар!!!,0
Цы зардиаг худт каны. 😊😍😍😍,0
"Алчи даер нае баеллы уымае,фаела азмалын нае фаеразаем",0
"цы æнхъæлай, уый уыдзынæ",0
ай уа сыдзы) Худаг у,0
"мӕнӕн иу дӕр, ӕмӕ иннӕ дӕр мӕ зӕрдӕмӕ нӕ цӕуынц",0
Тынг арæх удыгæсты хсæн нæ вæййынц,0
Амонды цур фсаейнаг ницы у ),0
Каман куыд...,0
"Кæимæ дзуры, Хуримæ? 😄",0
Тынг раст!!!!,0
Куыд бирае ныхаестае кодтат 😂,0
Æрра фыййау дæр афтæ хъуыды кодта,0
"Алцы дæр хорз уæт, фæлæ ма мын уыцы ""Нæ рæстæджы хъайтарæй"" исчи ирæттæн цы салæмттæ дæтты уыдон ратæлмац кæнæт. Белеет, грт, парус одинокæй ,..ну, ну!",0
Мæ бон нæу уыцы халæг мультикæй. Смешариктæ дзæвгар хуыздæр сты.,2
Бæдæйнаг чызг!,0
Ирыстоны хур макуы ахуыссаед✊,0
Ацы чиныг мам Шамилай баззад ама мын тынг зынаргъ у,0
"Æвæццæгæн, йæхи зæрдæмæ тынг цыд, æндæра-ма йыл ногæй цæмæн куыста",1
Нае фыдаелтаем аембисонд уыди «мит даер раесугъд у фаелае йыл зымаег къаехтае сийынц »☝️😂,1
"Цы пайда у, дыууæйæ цъыфы хуыссад",0
Пальма - ахӕм... зӕрдӕмӕ цӕугӕ цыбыр фыльм,1
Цард.,0
сомбоны ныфс),0
"Байрайут. Нарты Кадджыты 7 томы уаем ис? Кадджытае иууылдаер каем сты, уыдон",0
Фаестаг-мае хабар ахицан' сае хъабар уарзтаей',0
"Цы пайда у, дыууæйæ цъыфы хуыссад",0
Тынг уазал......,0
Уæдæ ма Африкайы райгуырис😂,1
"Хуыцау зæгъæт æмæ алы адæймаг дæр цары йахи адæймаджы сарæт, цæмæй йын ахæм ныхæстæ зæгъа🙏🤗😊",0
"....зæгъынц ис,фæлæ дам бабыхсын хъæуы иу гыццыл....",0
"Æхсар æмæ Геор сты, æнæ фарсты нысанæй))",0
Худаг нау,0
"Карсанаты Бимболат уыд иронавзагиртасаг, ахуырганаг ама ахуыргонд. ЦИПУ-йы ирон филологийы факульеты бындураварджытай иу.",2
Тынг хорз чиныг! Нæ фидæн фидар къухты ис aхæм кæстæримæ❤❤❤!!!,0
уыдысты(,0
Цард.,0
"Бузныг дын, ӕстыр бузныг! Ӕртӕккӕ афӕлварон.",0
Агъдаухалаг!,0
Тагъд чи кодты уыйы сабыргай ахастой,0
Раст дæ!,0
"Цы лæгтæ уыдысты... Ехх, æвæдза",0
"Уарзгæ дæ усы кæн, дæ,, фыдæбон"" имæ та тох ма кæн, æмæ дын уæд, чизоны, фенцондæр уа😊",0
Заманайы хабар,0
Кæнæ пиццайы хуызæн,1
Мах дæр дæ уарзæм😊,0
Кокайты Тотрадз😊,0
"[id329248491|Тотраз], Æнæмæнгæй. Тынг хорз уаид",0
"Уӕ салам бера! Фиццаг кинугӕ тагъд бакастан, ӕмӕ дуккаг агурдтон!",0
140 лагай йа Жигули нал шауы,1
"""Зымæг нæ хæхты цух нæ уадзы, –
Лæджы æмбæрц æруары мит;
Æфцæгæй коммæ уад дзыназы;
Их доныл саразы йæ хид.""",0
Æмæ мæгуыр йæ бон уыдзæн телефонæн,0
Тынг раст!!!!,0
"[id329248491|Тотраз], Æнæмæнгæй. Тынг хорз уаид",0
"Бузныг! Цымыдисӕй байхъуыстон, ӕхсызгон мын уыди!",0
Мах дæр дæ уарзæм😊,0
[club107115351|zærvatkk inc.] Йӕ хорзӕх дӕ уӕд. Бузныг дын дӕ архайдӕн.,0
Хæдтулгæ - машина .,1
Ахӕм нывмӕ гыццыл фӕлмӕндӕр ныхӕстӕ ныффысӕн уыд.,0
Хуытæ мæ сæгътæ нæ хиздзысты?,0